Population,HPIQuartile,Vaccinated
6322,3,4677.10836615639
2899,3,2133.8740176421998
3147,3,2433.0879662838693
4054,2,2985.2758902506334
2990,2,1402.9840876516616
3320,2,1682.3961038868397
3754,1,1640.1883734428336
4332,3,3380.698654020751
2129,2,1661.3635389534877
3067,3,2380.276265607551
7077,3,5802.5279729419435
4280,3,2756.98908502717
3707,3,2406.108484272878
5046,3,2870.1855291503825
3468,3,2026.630485624984
2225,3,1701.2808302404358
2154,3,1537.130907449053
5499,2,3915.8016732912965
6825,3,5024.201907687227
4397,3,2669.939568755589
3637,4,2703.9795328708915
3597,3,2181.8251877632565
4009,3,1953.5380809670896
5542,4,4717.761384704678
2965,3,1825.5613431625857
3078,4,2315.509779435591
2689,4,2288.868544694237
3792,4,2874.6986243085967
5865,4,4953.879167685778
4152,4,3534.707553441359
4098,4,3464.2340866783684
6321,4,5343.916186231037
2927,4,2268.364666082576
5169,4,4011.327852064519
6378,4,5052.859452292496
4889,4,3864.010304939774
5632,4,2499.345938023348
4763,4,4014.72670676381
5409,4,4190.511597490882
4672,4,2938.352931630181
3617,4,2631.1588911418867
3601,4,3053.2033407589443
4250,4,3258.0132845624044
6281,3,3854.5479351894246
6856,3,3674.892077794929
6298,3,4769.601922137429
3394,3,2352.4232137760855
5037,3,3755.15667240986
6593,4,5594.20539204508
5538,4,4528.071422513806
3709,3,2398.757546422587
3692,4,2931.5825227179485
3127,4,2215.470335294702
4965,4,3895.4100146203455
6606,4,5192.29739315983
4126,3,3266.329848014368
4384,3,3401.381405412431
5800,4,4678.584771035544
6888,4,5317.459672917731
3609,4,2965.336522546533
4685,3,3214.796467950206
2699,4,2089.824940368497
2644,4,2100.9071263005912
6674,3,5157.706954452644
2706,4,2296.688935306431
5555,3,4146.034165833995
4354,4,3694.7589850527393
3897,4,3348.79869412529
5306,4,4206.307323396593
4295,4,3640.238997634001
3566,4,3019.312621033255
3814,4,3085.661603443692
2868,4,2450.397221008414
2768,4,2350.33571005893
6897,4,4509.076224236652
6048,4,3875.218289969319
3565,4,2310.842673345901
3998,3,1885.3096770970187
4720,3,2231.8431307698324
6091,3,2913.075314081785
4472,4,3744.581586826961
3640,3,2818.428961953666
3967,4,3370.0180507670316
9007,3,6581.658248099405
